Symbol,Side,Type,Qty,Price,Fill Price,Commission,Placing Time,Closing Time,Order id
BITSTAMP:BTCUSD,Sell,Take Profit,7000,56291,56291,394.0370,2024-02-27 10:09:40,2024-02-27 10:10:14,1193537930
BYBIT:KASUSDT,Buy,Market,100000,0.17336,0.17336,0.0172,2024-02-27 10:11:22,2024-02-27 10:11:22,1193540587
BYBIT:KASUSDT,Sell,Market,100000,0.17381,0.17381,0.0172,2024-02-27 10:14:01,2024-02-27 10:14:01,1193545301
BITSTAMP:BTCUSD,Buy,Market,7000,57001,57001,399.0070,2024-02-27 18:34:47,2024-02-27 18:34:47,1194545586
BITSTAMP:BTCUSD,Sell,Take Profit,7000,57015,57015,399.1050,2024-02-27 18:34:47,2024-02-27 18:36:18,1194545587
BITSTAMP:BTCUSD,Sell,Take Profit,7000,59383,59384,415.6880,2024-02-28 13:32:08,2024-02-28 13:32:17,1195812053
BITSTAMP:BTCUSD,Buy,Market,7000,59372,59372,415.6040,2024-02-28 13:32:08,2024-02-28 13:32:08,1195812052
BYBIT:KASUSDT,Sell,Take Profit,100000,0.18075,0.18076,0.0179,2024-02-28 13:19:14,2024-02-28 13:30:16,1195795531
BYBIT:KASUSDT,Buy,Market,100000,0.18,0.18,0.0178,2024-02-28 13:19:14,2024-02-28 13:19:14,1195795530
BITSTAMP:BTCUSD,Sell,Take Profit,7000,59358,59362,415.5340,2024-02-28 13:18:42,2024-02-28 13:18:51,1195794893
BITSTAMP:BTCUSD,Buy,Market,7000,59347,59347,415.4290,2024-02-28 13:18:42,2024-02-28 13:18:42,1195794892
