Symbol,Side,Type,Qty,Price,Fill Price,Status,Commission,Placing Time,Closing Time,Order id
AMEX:GBTC,Sell,Market,100,45.63,45.63,Filled,0.0046,2024-02-23 18:51:53,2024-02-23 18:51:53,1189204592
AMEX:GBTC,Buy,Take Profit,100,45.61,45.61,Filled,0.0046,2024-02-23 18:51:53,2024-02-23 18:52:58,1189204593
CRYPTO:BTCUSD,Sell,Market,100,51008.47,51008.47,Filled,5.1008,2024-02-23 18:55:58,2024-02-23 18:55:58,1189213250
CRYPTO:BTCUSD,Buy,Take Profit,100,51006.35,51006.23,Filled,5.1006,2024-02-23 18:55:58,2024-02-23 18:56:01,1189213251
BITSTAMP:BTCUSD,Sell,Market,7000,51443,51443,Filled,360.1010,2024-02-26 09:12:14,2024-02-26 09:12:14,1191458649
BITSTAMP:BTCUSD,Buy,Take Profit,7000,51438,51438,Filled,360.0660,2024-02-26 09:12:14,2024-02-26 09:16:01,1191458650
BYBIT:BTCUSDT,Buy,Market,99.9996,54566.31,54566.31,Filled,5.4020,2024-02-26 23:32:33,2024-02-26 23:32:33,1192993202
BYBIT:BTCUSDT,Sell,Take Profit,99.9996,54567.81,54571.99,Filled,5.4026,2024-02-26 23:32:33,2024-02-26 23:32:39,1192993203
BITSTAMP:BTCUSD,Buy,Market,7000,54628,54628,Filled,382.3960,2024-02-26 23:33:21,2024-02-26 23:33:21,1192993656
BITSTAMP:BTCUSD,Sell,Market,7000,54623,54623,Filled,382.3610,2024-02-26 23:34:31,2024-02-26 23:34:31,1192994286
BITSTAMP:BTCUSD,Sell,Take Profit,7000,54645,,Cancelled,,2024-02-26 23:33:21,2024-02-26 23:34:31,1192993657
BITSTAMP:BTCUSD,Buy,Market,7000,54621,54621,Filled,382.3470,2024-02-26 23:34:59,2024-02-26 23:34:59,1192994543
BITSTAMP:BTCUSD,Sell,Market,7000,54633,54633,Filled,382.4310,2024-02-26 23:35:47,2024-02-26 23:35:47,1192994977
BITSTAMP:BTCUSD,Sell,Take Profit,7000,54638,,Cancelled,,2024-02-26 23:34:59,2024-02-26 23:35:47,1192994544
OANDA:BTCUSD,Buy,Market,7000,54676.6,54676.6,Filled,382.7362,2024-02-26 23:36:21,2024-02-26 23:36:21,1192995334
OANDA:BTCUSD,Sell,Take Profit,7000,54675.1,54675.8,Filled,382.7306,2024-02-26 23:36:21,2024-02-26 23:37:12,1192995335
BITSTAMP:BTCUSD,Buy,Market,7000,56281,56281,Filled,393.9670,2024-02-27 10:09:40,2024-02-27 10:09:40,1193537928
BITSTAMP:BTCUSD,Sell,Take Profit,7000,56291,56291,Filled,394.0370,2024-02-27 10:09:40,2024-02-27 10:10:14,1193537930
BYBIT:KASUSDT,Buy,Market,100000,0.17336,0.17336,Filled,0.0172,2024-02-27 10:11:22,2024-02-27 10:11:22,1193540587
BYBIT:KASUSDT,Sell,Market,100000,0.17381,0.17381,Filled,0.0172,2024-02-27 10:14:01,2024-02-27 10:14:01,1193545301
BYBIT:KASUSDT,Sell,Take Profit,100000,0.17397,,Cancelled,,2024-02-27 10:11:22,2024-02-27 10:14:01,1193540588
BITSTAMP:BTCUSD,Buy,Market,7000,57001,57001,Filled,399.0070,2024-02-27 18:34:47,2024-02-27 18:34:47,1194545586
BITSTAMP:BTCUSD,Sell,Take Profit,7000,57015,57015,Filled,399.1050,2024-02-27 18:34:47,2024-02-27 18:36:18,1194545587
BITSTAMP:BTCUSD,Buy,Market,7000,59347,59347,Filled,415.4290,2024-02-28 13:18:42,2024-02-28 13:18:42,1195794892
BITSTAMP:BTCUSD,Sell,Take Profit,7000,59358,59362,Filled,415.5340,2024-02-28 13:18:42,2024-02-28 13:18:51,1195794893
BYBIT:KASUSDT,Buy,Market,100000,0.18,0.18,Filled,0.0178,2024-02-28 13:19:14,2024-02-28 13:19:14,1195795530
BYBIT:KASUSDT,Sell,Take Profit,100000,0.18075,0.18076,Filled,0.0179,2024-02-28 13:19:14,2024-02-28 13:30:16,1195795531
BITSTAMP:BTCUSD,Buy,Market,7000,59372,59372,Filled,415.6040,2024-02-28 13:32:08,2024-02-28 13:32:08,1195812052
BITSTAMP:BTCUSD,Sell,Take Profit,7000,59383,59384,Filled,415.6880,2024-02-28 13:32:08,2024-02-28 13:32:17,1195812053
BITSTAMP:BTCUSD,Buy,Market,7000,59971,59971,Filled,419.7970,2024-02-28 20:21:50,2024-02-28 20:21:50,1196904265
BITSTAMP:BTCUSD,Sell,Take Profit,7000,59982,59988,Filled,419.9160,2024-02-28 20:21:50,2024-02-28 20:27:55,1196904266
BITSTAMP:BTCUSD,Buy,Market,7000,62660,62660,Filled,438.6200,2024-02-29 15:31:42,2024-02-29 15:31:42,1198222155
BITSTAMP:BTCUSD,Sell,Take Profit,7000,62624,62624,Filled,438.3680,2024-02-29 15:31:42,2024-02-29 15:31:42,1198222156
BITSTAMP:BTCUSD,Buy,Market,7000,62616,62616,Filled,438.3120,2024-02-29 15:32:15,2024-02-29 15:32:15,1198224199
BITSTAMP:BTCUSD,Sell,Take Profit,7000,62594,62599,Filled,438.1930,2024-02-29 15:32:15,2024-02-29 15:32:24,1198224200
BITSTAMP:BTCUSD,Buy,Market,7000,62624,62624,Filled,438.3680,2024-02-29 15:32:51,2024-02-29 15:32:51,1198225985
BITSTAMP:BTCUSD,Sell,Take Profit,7000,62651,62655,Filled,438.5850,2024-02-29 15:32:51,2024-02-29 15:35:16,1198225986
BITSTAMP:BTCUSD,Buy,Market,7000,62758,62758,Filled,439.3060,2024-02-29 15:39:15,2024-02-29 15:39:16,1198243701
BITSTAMP:BTCUSD,Sell,Take Profit,7000,62778,62785,Filled,439.4950,2024-02-29 15:39:15,2024-02-29 15:39:33,1198243702
BITSTAMP:BTCUSD,Buy,Market,7000,62797,62797,Filled,439.5790,2024-02-29 15:39:53,2024-02-29 15:39:53,1198245098
BITSTAMP:BTCUSD,Sell,Take Profit,7000,62815,62822,Filled,439.7540,2024-02-29 15:39:53,2024-02-29 15:40:04,1198245099
BITSTAMP:BTCUSD,Buy,Market,7000,62790,62790,Filled,439.5300,2024-02-29 15:46:42,2024-02-29 15:46:42,1198261939
BITSTAMP:BTCUSD,Sell,Take Profit,7000,62784,62785,Filled,439.4950,2024-02-29 15:46:42,2024-02-29 15:46:49,1198261940
BITSTAMP:BTCUSD,Buy,Market,7000,60903,60903,Filled,426.3210,2024-03-01 05:40:10,2024-03-01 05:40:10,1199520676
BITSTAMP:BTCUSD,Sell,Take Profit,7000,60913,60913,Filled,426.3910,2024-03-01 05:40:10,2024-03-01 05:40:24,1199520677
BITSTAMP:BTCUSD,Buy,Market,7000,60933,60933,Filled,426.5310,2024-03-01 05:40:51,2024-03-01 05:40:51,1199521203
BITSTAMP:BTCUSD,Sell,Take Profit,7000,60943,60946,Filled,426.6220,2024-03-01 05:40:51,2024-03-01 05:41:20,1199521204
BITSTAMP:BTCUSD,Buy,Market,7000,61333,61333,Filled,429.3310,2024-03-01 07:57:27,2024-03-01 07:57:27,1199639827
BITSTAMP:BTCUSD,Sell,Take Profit,7000,61359,61359,Filled,429.5130,2024-03-01 07:57:27,2024-03-01 08:06:30,1199639828
BITSTAMP:BTCUSD,Sell,Market,7000,62027,62027,Filled,434.1890,2024-03-03 01:34:32,2024-03-03 01:34:32,1202638320
